epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
47,C3_broad_1to1,0.076949,0.037033,0.039916,2.000000,0.282021,0.320598,0.394342,0.285060,0.446669,0.323713,0.229618
48,C3_broad_1to1,0.076944,0.036893,0.040050,2.000000,0.284492,0.319328,0.394547,0.286126,0.446027,0.324243,0.229730
49,C3_broad_1to1,0.076124,0.036876,0.039248,2.000000,0.286800,0.319880,0.393809,0.286311,0.446665,0.324201,0.229134
50,C3_broad_1to1,0.077635,0.037317,0.040318,2.000000,0.288939,0.318676,0.393743,0.287581,0.447194,0.323400,0.229406
51,C3_broad_1to1,0.073741,0.035545,0.038196,2.000000,0.290902,0.320080,0.392738,0.287183,0.446157,0.323640,0.230203
52,C3_broad_1to1,0.073917,0.035572,0.038345,2.000000,0.292684,0.320776,0.393200,0.286024,0.443925,0.324791,0.231284
53,C3_broad_1to1,0.074463,0.035840,0.038623,2.000000,0.294282,0.321795,0.390977,0.287228,0.446774,0.323552,0.229673
54,C3_broad_1to1,0.073152,0.035182,0.037970,2.000000,0.295689,0.320529,0.392811,0.286660,0.447238,0.322713,0.230049
55,C3_broad_1to1,0.072834,0.035413,0.037421,2.000000,0.296902,0.321194,0.392272,0.286534,0.444432,0.323910,0.231658
56,C3_broad_1to1,0.072875,0.035022,0.037853,2.000000,0.297919,0.320561,0.391702,0.287737,0.445179,0.322339,0.232482
57,C3_broad_1to1,0.072273,0.034994,0.037279,2.000000,0.298735,0.320514,0.391415,0.288071,0.445846,0.321779,0.232375
58,C3_broad_1to1,0.070694,0.033984,0.036710,2.000000,0.299349,0.320071,0.391378,0.288551,0.444917,0.322782,0.232301
59,C3_broad_1to1,0.073703,0.035328,0.038375,2.000000,0.299760,0.320480,0.392054,0.287467,0.443679,0.324056,0.232265
60,C3_broad_1to1,0.071209,0.034185,0.037024,2.000000,0.299966,0.320538,0.391920,0.287542,0.445660,0.323572,0.230769
61,C3_anneal,0.181315,0.051408,0.090661,1.001980,0.300359,0.320370,0.393557,0.286074,0.443230,0.323605,0.233164
62,C3_anneal,0.172603,0.058996,0.086301,1.000000,0.302512,0.321242,0.392811,0.285948,0.441523,0.325067,0.233410
63,C3_anneal,0.169106,0.064144,0.084553,1.000000,0.306808,0.321161,0.392326,0.286512,0.444492,0.325888,0.229620
64,C3_anneal,0.159825,0.063881,0.079913,1.000000,0.313220,0.319235,0.392700,0.288065,0.441429,0.327168,0.231403
65,C3_anneal,0.155833,0.064164,0.077917,1.000000,0.321708,0.319068,0.391643,0.289289,0.443596,0.324712,0.231692
66,C3_anneal,0.156673,0.066340,0.078337,1.000000,0.332220,0.319170,0.391417,0.289413,0.446398,0.323472,0.230130
67,C3_anneal,0.159411,0.069261,0.079705,1.000000,0.344692,0.318051,0.391879,0.290070,0.441181,0.327453,0.231366
68,C3_anneal,0.157673,0.067564,0.078837,1.000000,0.359045,0.318222,0.392385,0.289393,0.441331,0.328692,0.229976
69,C3_anneal,0.154926,0.069430,0.077463,1.000000,0.375193,0.318758,0.390823,0.290419,0.441768,0.329413,0.228819
70,C3_anneal,0.148753,0.071873,0.074377,1.000000,0.393035,0.318399,0.390933,0.290669,0.441702,0.329502,0.228796
71,C3_anneal,0.145713,0.074702,0.072856,1.000000,0.412461,0.318473,0.389570,0.291957,0.441392,0.329081,0.229527
72,C3_anneal,0.152657,0.072713,0.076329,1.000000,0.433351,0.318390,0.390530,0.291081,0.440150,0.328828,0.231022
73,C3_anneal,0.146867,0.071640,0.073434,1.000000,0.455578,0.317160,0.391556,0.291284,0.440777,0.327931,0.231292
74,C3_anneal,0.147708,0.073347,0.073854,1.000000,0.479003,0.318267,0.390598,0.291135,0.444526,0.325679,0.229794
75,C3_anneal,0.143718,0.077133,0.071859,1.000000,0.503482,0.316920,0.391007,0.292073,0.444617,0.324865,0.230518
76,C3_anneal,0.150353,0.081570,0.075176,1.000000,0.528865,0.315629,0.391164,0.293207,0.445035,0.325276,0.229689
77,C3_anneal,0.146440,0.076680,0.073220,1.000000,0.554994,0.316192,0.391148,0.292660,0.443351,0.325193,0.231456
78,C3_anneal,0.151012,0.081810,0.075506,1.000000,0.581709,0.317413,0.389007,0.293580,0.442596,0.325681,0.231723
79,C3_anneal,0.152082,0.086300,0.076041,1.000000,0.608845,0.316915,0.388694,0.294391,0.442603,0.327476,0.229921
80,C3_anneal,0.148920,0.082635,0.074460,1.000000,0.636235,0.316372,0.390855,0.292773,0.441487,0.328732,0.229781
81,C3_anneal,0.141635,0.083067,0.070818,1.000000,0.663710,0.317220,0.389750,0.293030,0.437654,0.333269,0.229077
82,C3_anneal,0.144468,0.079359,0.072234,1.000000,0.691100,0.317128,0.388744,0.294128,0.439925,0.331801,0.228274
83,C3_anneal,0.141164,0.081269,0.070582,1.000000,0.718237,0.316745,0.388550,0.294706,0.440433,0.330211,0.229357
84,C3_anneal,0.134864,0.078307,0.067432,1.000000,0.744954,0.317022,0.389631,0.293347,0.442009,0.328851,0.229140
85,C3_anneal,0.135049,0.077427,0.067525,1.000000,0.771084,0.317452,0.388600,0.293948,0.443776,0.325597,0.230627
86,C3_anneal,0.135838,0.077488,0.067919,1.000000,0.796469,0.318776,0.387817,0.293407,0.444002,0.325303,0.230695
87,C3_anneal,0.133204,0.077875,0.066602,1.000000,0.820950,0.318664,0.387594,0.293742,0.446449,0.324882,0.228669
88,C3_anneal,0.141960,0.084920,0.070980,1.000000,0.844377,0.318898,0.388354,0.292748,0.446626,0.323888,0.229486
89,C3_anneal,0.133960,0.082245,0.066980,1.000000,0.866606,0.319989,0.387165,0.292847,0.446637,0.323046,0.230317
90,C3_anneal,0.134792,0.080387,0.067396,1.000000,0.887499,0.319563,0.387584,0.292853,0.444164,0.324502,0.231334
91,C3_anneal,0.129280,0.079383,0.064640,1.000000,0.906928,0.319243,0.388195,0.292562,0.441636,0.325664,0.232700
92,C3_anneal,0.131240,0.081399,0.065620,1.000000,0.924773,0.316982,0.390647,0.292371,0.440666,0.326427,0.232907
93,C3_anneal,0.131569,0.081028,0.065785,1.000000,0.940924,0.316161,0.391514,0.292325,0.441080,0.326287,0.232633
