epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.825510,0.498574,0.326937,2.000000,0.150034,0.323622,0.400417,0.275961,0.434114,0.343624,0.222262
2,C3_broad_1to1,0.536770,0.320669,0.216101,2.000000,0.150239,0.314388,0.414322,0.271290,0.434215,0.346077,0.219708
3,C3_broad_1to1,0.370899,0.223078,0.147820,2.000000,0.150650,0.313358,0.415090,0.271553,0.434517,0.345986,0.219498
4,C3_broad_1to1,0.281750,0.169531,0.112219,2.000000,0.151264,0.308653,0.417177,0.274170,0.434048,0.347159,0.218793
5,C3_broad_1to1,0.229885,0.136865,0.093019,2.000000,0.152080,0.307105,0.417977,0.274918,0.431590,0.349512,0.218898
6,C3_broad_1to1,0.197583,0.115145,0.082438,2.000000,0.153096,0.306038,0.418214,0.275747,0.432328,0.349761,0.217911
7,C3_broad_1to1,0.179452,0.102621,0.076831,2.000000,0.154309,0.307260,0.416602,0.276139,0.433682,0.347885,0.218433
8,C3_broad_1to1,0.160496,0.089697,0.070800,2.000000,0.155715,0.306982,0.416587,0.276430,0.433971,0.347974,0.218055
9,C3_broad_1to1,0.155213,0.084841,0.070372,2.000000,0.157312,0.305219,0.417201,0.277579,0.432907,0.348990,0.218104
10,C3_broad_1to1,0.144782,0.077574,0.067208,2.000000,0.159094,0.304493,0.416842,0.278666,0.432091,0.350305,0.217604
11,C3_broad_1to1,0.142046,0.075056,0.066990,2.000000,0.161057,0.304088,0.417166,0.278746,0.432974,0.349187,0.217839
