epoch,stage,total,bce,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
49,C3_broad_1to1,0.015064,0.015064,0.286800,0.318167,0.423252,0.258581,0.455772,0.342298,0.201930
50,C3_broad_1to1,0.014868,0.014868,0.288939,0.319042,0.422533,0.258426,0.456666,0.342305,0.201029
51,C3_broad_1to1,0.014384,0.014384,0.290902,0.318663,0.422782,0.258555,0.456720,0.342622,0.200658
52,C3_broad_1to1,0.014630,0.014630,0.292684,0.318440,0.423155,0.258405,0.458410,0.341239,0.200351
53,C3_broad_1to1,0.014608,0.014608,0.294282,0.319158,0.423115,0.257727,0.458628,0.340779,0.200592
54,C3_broad_1to1,0.014720,0.014720,0.295689,0.317027,0.425077,0.257897,0.458103,0.340301,0.201595
55,C3_broad_1to1,0.014987,0.014987,0.296902,0.316582,0.425051,0.258367,0.458404,0.340417,0.201178
56,C3_broad_1to1,0.014148,0.014148,0.297919,0.318199,0.424046,0.257756,0.458103,0.340599,0.201298
57,C3_broad_1to1,0.014368,0.014368,0.298735,0.319822,0.422387,0.257791,0.458264,0.340198,0.201538
58,C3_broad_1to1,0.013763,0.013763,0.299349,0.319791,0.421773,0.258436,0.457612,0.341382,0.201006
59,C3_broad_1to1,0.013884,0.013884,0.299760,0.319110,0.422060,0.258830,0.458105,0.341266,0.200629
60,C3_broad_1to1,0.013643,0.013643,0.299966,0.318774,0.422073,0.259154,0.457735,0.340865,0.201400
61,C3_anneal,0.013315,0.013315,0.300359,0.319452,0.421801,0.258746,0.457595,0.340990,0.201415
62,C3_anneal,0.013025,0.013025,0.302512,0.319864,0.421312,0.258823,0.457162,0.341140,0.201699
63,C3_anneal,0.013640,0.013640,0.306808,0.320362,0.420213,0.259425,0.458241,0.341457,0.200302
64,C3_anneal,0.013757,0.013757,0.313220,0.320731,0.418920,0.260349,0.458873,0.340957,0.200170
65,C3_anneal,0.013503,0.013503,0.321708,0.321852,0.416836,0.261312,0.460062,0.340219,0.199719
66,C3_anneal,0.013282,0.013282,0.332220,0.321249,0.417848,0.260903,0.460411,0.340787,0.198802
67,C3_anneal,0.013264,0.013264,0.344692,0.322150,0.417503,0.260347,0.461453,0.341188,0.197358
68,C3_anneal,0.012683,0.012683,0.359045,0.322017,0.416510,0.261473,0.462813,0.339753,0.197433
69,C3_anneal,0.013326,0.013326,0.375193,0.321860,0.418109,0.260031,0.462075,0.339884,0.198041
70,C3_anneal,0.013612,0.013612,0.393035,0.321062,0.419272,0.259666,0.461832,0.339271,0.198897
71,C3_anneal,0.013078,0.013078,0.412461,0.321344,0.419479,0.259178,0.463339,0.338677,0.197984
72,C3_anneal,0.012560,0.012560,0.433351,0.320830,0.419378,0.259792,0.463419,0.337575,0.199006
73,C3_anneal,0.012516,0.012516,0.455578,0.320327,0.418373,0.261300,0.462460,0.338361,0.199179
74,C3_anneal,0.012303,0.012303,0.479003,0.320356,0.418796,0.260848,0.460072,0.339306,0.200622
75,C3_anneal,0.012463,0.012463,0.503482,0.320672,0.418097,0.261231,0.460567,0.340114,0.199319
76,C3_anneal,0.012091,0.012091,0.528865,0.319277,0.419867,0.260856,0.461103,0.339818,0.199078
77,C3_anneal,0.011828,0.011828,0.554994,0.319350,0.420068,0.260582,0.462301,0.339295,0.198403
78,C3_anneal,0.012271,0.012271,0.581709,0.319201,0.419882,0.260917,0.463068,0.337297,0.199635
79,C3_anneal,0.012339,0.012339,0.608845,0.319692,0.418254,0.262053,0.462166,0.337607,0.200227
80,C3_anneal,0.012245,0.012245,0.636235,0.319072,0.418392,0.262536,0.463670,0.336642,0.199688
81,C3_anneal,0.012029,0.012029,0.663710,0.319236,0.418677,0.262087,0.464269,0.335963,0.199768
82,C3_anneal,0.011899,0.011899,0.691100,0.320050,0.419213,0.260737,0.463546,0.335340,0.201114
83,C3_anneal,0.011998,0.011998,0.718237,0.319883,0.418434,0.261684,0.463009,0.335819,0.201172
84,C3_anneal,0.011713,0.011713,0.744954,0.320094,0.418906,0.261000,0.462206,0.336945,0.200849
85,C3_anneal,0.011351,0.011351,0.771084,0.320155,0.418074,0.261770,0.462903,0.336106,0.200991
86,C3_anneal,0.011549,0.011549,0.796469,0.319559,0.418674,0.261768,0.462843,0.336207,0.200950
87,C3_anneal,0.011045,0.011045,0.820950,0.318344,0.419908,0.261748,0.462622,0.336884,0.200494
88,C3_anneal,0.011236,0.011236,0.844377,0.319077,0.419238,0.261685,0.462559,0.337180,0.200261
89,C3_anneal,0.011415,0.011415,0.866606,0.318727,0.420235,0.261037,0.462918,0.336523,0.200559
90,C3_anneal,0.011116,0.011116,0.887499,0.318864,0.419586,0.261550,0.463421,0.335397,0.201182
91,C3_anneal,0.011420,0.011420,0.906928,0.320190,0.418071,0.261738,0.462094,0.335938,0.201968
92,C3_anneal,0.010971,0.010971,0.924773,0.321452,0.416198,0.262350,0.462681,0.335880,0.201439
93,C3_anneal,0.011255,0.011255,0.940924,0.320086,0.416955,0.262958,0.463392,0.334978,0.201630
94,C3_anneal,0.010772,0.010772,0.955282,0.319379,0.416334,0.264287,0.464904,0.335235,0.199861
95,C3_anneal,0.010890,0.010890,0.967757,0.319375,0.416809,0.263817,0.463361,0.335576,0.201063
96,C3_anneal,0.010752,0.010752,0.978273,0.319940,0.417676,0.262385,0.463677,0.334494,0.201829
97,C3_anneal,0.010834,0.010834,0.986765,0.319199,0.418056,0.262745,0.462572,0.334903,0.202525
98,C3_anneal,0.010527,0.010527,0.993181,0.318948,0.419371,0.261680,0.462505,0.334635,0.202861
99,C3_anneal,0.010450,0.010450,0.997481,0.319780,0.418120,0.262100,0.461893,0.334384,0.203723
100,C3_anneal,0.010363,0.010363,0.999639,0.318904,0.418397,0.262699,0.461839,0.334540,0.203621
101,C3_anneal,0.010281,0.010281,1.000000,0.318012,0.417993,0.263996,0.462566,0.335176,0.202258
102,C3_anneal,0.010163,0.010163,1.000000,0.318173,0.418044,0.263783,0.462593,0.334869,0.202538
103,C3_anneal,0.011567,0.011567,1.000000,0.316352,0.419714,0.263934,0.462151,0.335499,0.202350
104,C3_anneal,0.010432,0.010432,1.000000,0.316943,0.417397,0.265660,0.462093,0.335701,0.202207
105,C3_anneal,0.010062,0.010062,1.000000,0.317613,0.417084,0.265303,0.462974,0.335199,0.201827
106,C3_anneal,0.009681,0.009681,1.000000,0.318030,0.416740,0.265230,0.463375,0.335496,0.201129
107,C3_anneal,0.010142,0.010142,1.000000,0.317182,0.416579,0.266239,0.463194,0.335365,0.201441
108,C3_anneal,0.009962,0.009962,1.000000,0.316677,0.418134,0.265189,0.463829,0.336126,0.200045
109,C3_anneal,0.009645,0.009645,1.000000,0.317697,0.417067,0.265236,0.462842,0.336500,0.200658
110,C3_anneal,0.009599,0.009599,1.000000,0.318355,0.416952,0.264692,0.463508,0.335152,0.201339
111,C3_anneal,0.010232,0.010232,1.000000,0.318009,0.417816,0.264175,0.463614,0.334770,0.201617
112,C3_anneal,0.009705,0.009705,1.000000,0.318441,0.417429,0.264130,0.464063,0.334383,0.201554
113,C3_anneal,0.009800,0.009800,1.000000,0.319045,0.416638,0.264317,0.464048,0.334540,0.201413
114,C3_anneal,0.009665,0.009665,1.000000,0.319152,0.416490,0.264358,0.463124,0.335678,0.201198
115,C3_anneal,0.009506,0.009506,1.000000,0.318800,0.417916,0.263284,0.463350,0.336157,0.200493
116,C3_anneal,0.009777,0.009777,1.000000,0.317894,0.418278,0.263828,0.464124,0.336877,0.198999
117,C3_anneal,0.009549,0.009549,1.000000,0.317189,0.418309,0.264502,0.464949,0.335189,0.199862
118,C3_anneal,0.009288,0.009288,1.000000,0.317107,0.418124,0.264768,0.464590,0.335657,0.199753
119,C3_anneal,0.009478,0.009478,1.000000,0.317043,0.418496,0.264461,0.463650,0.336336,0.200014
120,C3_anneal,0.008941,0.008941,1.000000,0.317150,0.418365,0.264485,0.464926,0.335295,0.199779
121,C3_anneal,0.009083,0.009083,1.000000,0.316844,0.418609,0.264548,0.465089,0.334783,0.200128
122,C3_anneal,0.008783,0.008783,1.000000,0.317052,0.418368,0.264580,0.465155,0.334887,0.199958
123,C3_anneal,0.008903,0.008903,1.000000,0.317198,0.417982,0.264820,0.465186,0.334869,0.199945
124,C3_anneal,0.008716,0.008716,1.000000,0.317346,0.417966,0.264688,0.465495,0.334641,0.199864
125,C3_anneal,0.008650,0.008650,1.000000,0.317287,0.418198,0.264515,0.465682,0.334591,0.199727
126,C3_anneal,0.008694,0.008694,1.000000,0.317188,0.418366,0.264446,0.465706,0.334386,0.199907
127,C3_anneal,0.008655,0.008655,1.000000,0.317279,0.418403,0.264318,0.465476,0.334496,0.200028
128,C3_anneal,0.008777,0.008777,1.000000,0.317113,0.418351,0.264537,0.465535,0.334527,0.199937
129,C3_anneal,0.008418,0.008418,1.000000,0.317029,0.418383,0.264588,0.465505,0.334653,0.199841
130,C3_anneal,0.008873,0.008873,1.000000,0.317001,0.418211,0.264788,0.465557,0.334497,0.199947
131,C3_anneal,0.008587,0.008587,1.000000,0.316994,0.418114,0.264892,0.465362,0.334620,0.200018
132,C3_anneal,0.008466,0.008466,1.000000,0.316892,0.418380,0.264728,0.465390,0.334754,0.199856
133,C3_anneal,0.008505,0.008505,1.000000,0.316710,0.418617,0.264673,0.465467,0.334845,0.199688
134,C3_anneal,0.008481,0.008481,1.000000,0.316748,0.418581,0.264670,0.465450,0.334868,0.199682
135,C3_anneal,0.008241,0.008241,1.000000,0.317142,0.418111,0.264747,0.465695,0.334651,0.199654
136,C3_anneal,0.008499,0.008499,1.000000,0.317134,0.418095,0.264772,0.465899,0.334328,0.199773
137,C3_anneal,0.008444,0.008444,1.000000,0.316802,0.418315,0.264882,0.465669,0.334248,0.200083
138,C3_anneal,0.008520,0.008520,1.000000,0.316726,0.418332,0.264942,0.465696,0.334171,0.200133
139,C3_anneal,0.008298,0.008298,1.000000,0.316753,0.418335,0.264912,0.465595,0.334226,0.200179
140,C3_anneal,0.008269,0.008269,1.000000,0.316625,0.418517,0.264857,0.465668,0.334240,0.200092
141,C3_reliable_0p3,0.008310,0.008310,1.000000,0.316556,0.418567,0.264876,0.465315,0.334303,0.200382
142,C3_reliable_0p3,0.008399,0.008399,1.000000,0.316417,0.418773,0.264810,0.465386,0.334389,0.200225
143,C3_reliable_0p3,0.008264,0.008264,1.000000,0.316548,0.418666,0.264786,0.465381,0.334513,0.200106
144,C3_reliable_0p3,0.008544,0.008544,1.000000,0.316400,0.418778,0.264823,0.465538,0.334658,0.199805
145,C3_reliable_0p3,0.008289,0.008289,1.000000,0.316347,0.418946,0.264708,0.465510,0.334480,0.200010
146,C3_reliable_0p3,0.008313,0.008313,1.000000,0.316402,0.418904,0.264694,0.465559,0.334391,0.200049
147,C3_reliable_0p3,0.008187,0.008187,1.000000,0.316468,0.418914,0.264618,0.465510,0.334285,0.200205
148,C3_reliable_0p3,0.008337,0.008337,1.000000,0.316539,0.418889,0.264572,0.465686,0.334138,0.200176
149,C3_reliable_0p3,0.008390,0.008390,1.000000,0.316554,0.418836,0.264610,0.465869,0.334128,0.200002
150,C3_reliable_0p3,0.008047,0.008047,1.000000,0.316667,0.418698,0.264635,0.465829,0.334293,0.199878
